Código,Descrição
04,"Leite e laticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos."
0401,"Leite e creme de leite (nata), não concentrados nem adi"
040110,"- Com um teor, em peso, de matérias gordas, não superio"
04011010,Leite UHT (Ultra High Temperature)
04011090,Outros
040120,"- Com um teor, em peso, de matérias gordas, superior a"
04012010,Leite UHT (Ultra High Temperature)
04012090,Outros
040140,"- Com um teor, em peso, de matérias gordas, superior a"
04014010,Leite
0401402,Creme de leite (nata)
04014021,UHT (Ultra High Temperature)
04014029,Outros
040150,"- Com um teor, em peso, de matérias gordas, superior a"
04015010,Leite
0401502,Creme de leite (nata)
04015021,UHT (Ultra High Temperature)
04015029,Outros
0402,"Leite e creme de leite (nata), concentrados ou adiciona"
040210,"- Em pó, grânulos ou outras formas sólidas, com um teor"
04021010,"Com um teor de arsênio, chumbo ou cobre, considerados i"
04021090,Outros
04022,"- Em pó, grânulos ou outras formas sólidas, com um teor"
040221,-- Sem adição de açúcar ou de outros edulcorantes
04022110,Leite integral
04022120,Leite parcialmente desnatado
04022130,Creme de leite (nata)
040229,-- Outros
04022910,Leite integral
04022920,Leite parcialmente desnatado
04022930,Creme de leite (nata)
04029,- Outros:
04029100,-- Sem adição de açúcar ou de outros edulcorantes
04029900,-- Outros
0403,"Iogurte; leitelho, leite e creme de leite (nata) coalha"
04032000,- Iogurte
04039000,- Outros
0404,"Soro de leite, mesmo concentrado ou adicionado de açúca"
04041000,"- Soro de leite, modificado ou não, mesmo concentrado o"
04049000,- Outros
0405,Manteiga e outras matérias gordas provenientes do leite
04051000,- Manteiga
04052000,- Pasta de espalhar (barrar) de produtos provenientes d
040590,- Outras
04059010,Óleo butírico de manteiga (butter oil)
04059090,Outras
0406,Queijos e requeijão.
040610,"- Queijos frescos (não curados), incluindo o queijo de"
04061010,Mozarela
04061090,Outros
04062000,"- Queijos ralados ou em pó, de qualquer tipo"
04063000,"- Queijos fundidos, exceto ralados ou em pó"
04064000,- Queijos de pasta mofada (azul) e outros queijos que a
040690,- Outros queijos
04069010,"Com um teor de umidade inferior a 36,0 %, em peso (mass"
04069020,"Com um teor de umidade igual ou superior a 36,0 % e inf"
04069030,"Com um teor de umidade igual ou superior a 46,0 % e inf"
04069090,Outros
0407,"Ovos de aves, com casca, frescos, conservados ou cozido"
04071,- Ovos fertilizados destinados à incubação:
04071100,-- De aves da espécieGallus domesticus
04071900,-- Outros
04072,- Outros ovos frescos:
04072100,-- De aves da espécieGallus domesticus
04072900,-- Outros
04079000,- Outros
0408,"Ovos de aves, sem casca, e gemas de ovos, frescos, seco"
04081,- Gemas de ovos:
04081100,-- Secas
04081900,-- Outras
04089,- Outros:
04089100,-- Secos
04089900,-- Outros
04090000,Mel natural.
0410,"Insetos e outros produtos comestíveis de origem animal,"
04101000,- Insetos
04109000,- Outros
05,"Outros produtos de origem animal, não especificados nem compreendidosnoutros Capítulos."
05010000,"Cabelo em bruto, mesmo lavado ou desengordurado; desper"
0502,Cerdas de porco ou de javali; pelos de texugo e outros
050210,- Cerdas de porco ou de javali e seus desperdícios
0502101,Cerdas de porco
05021011,"Lavadas, alvejadas ou desengorduradas, mesmo tintas"
05021019,Outras
05021090,Outros
050290,- Outros
05029010,Pelos
05029020,Desperdícios
050400,"Tripas, bexigas e estômagos, de animais, inteiros ou em"
0504001,Tripas
05040011,De bovinos
05040012,De ovinos
05040013,De suínos
05040019,Outras
05040090,Outros
0505,"Peles e outras partes de aves, com as suas penas ou pen"
05051000,- Penas do tipo utilizado para enchimento ou estofament
05059000,- Outros
0506,"Ossos e núcleos córneos, em bruto, desengordurados ou s"
05061000,- Osseína e ossos acidulados
05069000,- Outros
0507,"Marfim, carapaças de tartaruga, barbas, incluindo as fr"
05071000,- Marfim; pó e desperdícios de marfim
05079000,- Outros
05080000,"Coral e matérias semelhantes, em bruto ou simplesmente"
051000,"Âmbar-cinzento, castóreo, algália e almíscar; cantárida"
05100010,Pâncreas de bovino
05100090,Outros
0511,"Produtos de origem animal, não especificados nem compre"
05111000,- Sêmen de bovino
05119,- Outros:
051191,"-- Produtos de peixes ou crustáceos, moluscos ou de out"
05119110,"Ovas de peixe fecundadas, para reprodução"
05119190,Outros
051199,-- Outros
05119910,Embriões de animais
05119920,Sêmen animal
05119930,Ovos de bicho-da-seda
0511999,Outros
05119991,"Crinas e seus desperdícios, mesmo em mantas, mesmo com"
05119999,Outros
06,Plantas vivas e produtos de floricultura.
0601,"Bulbos, tubérculos, raízes tuberosas, cormos, coroas e"
06011000,"- Bulbos, tubérculos, raízes tuberosas, cormos, coroas"
06012000,"- Bulbos, tubérculos, raízes tuberosas, cormos, coroas"
0602,"Outras plantas vivas (incluindo as suas raízes), estaca"
06021000,- Estacas não enraizadas e enxertos
06022000,"- Árvores, arbustos e silvados, de fruta, enxertados ou"
06023000,"- Rododendros e azaleias, enxertados ou não"
06024000,"- Roseiras, enxertadas ou não"
060290,- Outros
06029010,Micélios de cogumelos
0602902,Mudas de plantas ornamentais
06029021,De orquídea
06029029,Outras
0602908,Outras mudas
06029081,De cana-de-açúcar
06029082,De videira
06029083,De café
06029089,Outras
06029090,Outras
0603,"Flores e botões de flores, cortados, para buquês (ramos"
06031,- Frescos:
06031100,-- Rosas
06031200,-- Cravos
06031300,-- Orquídeas
06031400,-- Crisântemos
06031500,-- Lírios (Liliumspp.)
06031900,-- Outros
06039000,- Outros
0604,"Folhagem, folhas, ramos e outras partes de plantas, sem"
06042000,- Frescos
06049000,- Outros
07,"Produtos hortícolas, plantas, raízes e tubérculos, comestíveis."
0701,"Batatas, frescas ou refrigeradas."
07011000,- Batata-semente
07019000,- Outras
07020000,"Tomates, frescos ou refrigerados."
0703,"Cebolas, chalotas, alhos, alhos-porros e outros produto"
070310,- Cebolas e chalotas
0703101,Cebolas
07031011,Para semeadura (sementeira)
07031019,Outras
0703102,Chalotas
07031021,Para semeadura (sementeira)
07031029,Outras
070320,- Alhos
07032010,Para semeadura (sementeira)
07032090,Outros
070390,- Alhos-porros e outros produtos hortícolas aliáceos
07039010,Para semeadura (sementeira)
07039090,Outros
0704,"Couves, couve-flor, repolho ou couve frisada, couve-ráb"
07041000,- Couve-flor e brócolis
07042000,- Couve-de-bruxelas
07049000,- Outros
0705,"Alface (Lactuca sativa) e chicórias (Cichoriumspp.), fr"
07051,- Alface:
07051100,-- Repolhuda
07051900,-- Outra
07052,- Chicórias:
07052100,-- Endívia (Cichorium intybusvar.foliosum)
07052900,-- Outras
0706,"Cenouras, nabos, beterrabas para salada, cercefi, aipo-"
07061000,- Cenouras e nabos
07069000,- Outros
07070000,"Pepinos e pepininhos (cornichons), frescos ou refrigera"
0708,"Legumes de vagem, mesmo com vagem, frescos ou refrigera"
07081000,- Ervilhas (Pisum sativum)
07082000,"- Feijões (Vignaspp.,Phaseolusspp.)"
07089000,- Outros legumes de vagem
0709,"Outros produtos hortícolas, frescos ou refrigerados."
07092000,- Aspargos
07093000,- Berinjelas
07094000,"- Aipo, exceto aipo-rábano"
07095,- Cogumelos e trufas:
07095100,-- Cogumelos do gêneroAgaricus
07095200,-- Cogumelos do gêneroBoletus
07095300,-- Cogumelos do gêneroCantharellus
07095400,-- Shitake (Lentinus edodes)
07095500,"-- Matsutake (Tricholoma matsutake,Tricholoma magnivela"
07095600,-- Trufas (Tuberspp.)
07095900,-- Outros
07096000,- Pimentões (pimentos) e pimentas do gêneroCapsicumou d
07097000,"- Espinafres, espinafres-da-nova-zelândia e espinafres"
07099,- Outros:
07099100,-- Alcachofras
07099200,-- Azeitonas
07099300,"-- Abóboras, abobrinhas (curgetes*) e cabaças (Cucurbit"
070999,-- Outros
0709991,Milho doce
07099911,Para semeadura (sementeira)
07099919,Outros
07099990,Outros
0710,"Produtos hortícolas, não cozidos ou cozidos em água ou"
07101000,- Batatas
07102,"- Legumes de vagem, mesmo com vagem:"
07102100,-- Ervilhas (Pisum sativum)
07102200,"-- Feijões (Vignaspp.,Phaseolusspp.)"
07102900,-- Outros
07103000,"- Espinafres, espinafres-da-nova-zelândia e espinafres"
07104000,- Milho doce
07108000,- Outros produtos hortícolas
07109000,- Misturas de produtos hortícolas
0711,"Produtos hortícolas conservados transitoriamente, mas i"
071120,- Azeitonas
07112010,Com água salgada
07112020,Com água sulfurada ou adicionada de outras substâncias
07112090,Outras
07114000,- Pepinos e pepininhos (cornichons)
07115,- Cogumelos e trufas:
07115100,-- Cogumelos do gêneroAgaricus
07115900,-- Outros
07119000,- Outros produtos hortícolas; misturas de produtos hort
0712,"Produtos hortícolas secos, mesmo cortados em pedaços ou"
07122000,- Cebolas
07123,"- Cogumelos, orelhas-de-judas (Auriculariaspp.), tremel"
07123100,-- Cogumelos do gêneroAgaricus
07123200,-- Orelhas-de-judas (Auriculariaspp.)
07123300,-- Tremelas (Tremellaspp.)
07123400,-- Shitake (Lentinus edodes)
07123900,-- Outros
071290,- Outros produtos hortícolas; misturas de produtos hort
07129020,ALHO
07129090,Outros
0713,"Legumes de vagem, secos, em grão, mesmo pelados ou part"
071310,- Ervilhas (Pisum sativum)
07131010,Para semeadura (sementeira)
07131090,Outras
071320,- Grão-de-bico
07132010,Para semeadura (sementeira)
07132090,Outros
07133,"- Feijões (Vignaspp.,Phaseolusspp.):"
071331,-- Feijões das espéciesVigna mungo(L.)HepperouVigna rad
07133110,Para semeadura (sementeira)
07133190,Outros
071332,-- Feijão-adzuki (PhaseolusouVigna angularis)
07133210,Para semeadura (sementeira)
07133290,Outros
071333,-- Feijão comum (Phaseolus vulgaris)
0713331,Preto
07133311,Para semeadura (sementeira)
07133319,Outros
0713332,Branco
07133321,Para semeadura (sementeira)
07133329,Outros
0713339,Outros
07133391,Para semeadura (sementeira)
07133399,Outros
071334,-- Feijão-bambara (Vigna subterraneaouVoandzeia subterr
07133410,Para semeadura (sementeira)
07133490,Outros
071335,-- Feijão-fradinho (Vigna unguiculata)
07133510,Para semeadura (sementeira)
07133590,Outros
071339,-- Outros
07133910,Para semeadura (sementeira)
07133990,Outros
071340,- Lentilhas
07134010,Para semeadura (sementeira)
07134090,Outras
071350,- Favas (Vicia fabavar.major) e fava forrageira (Vicia
07135010,Para semeadura (sementeira)
07135090,Outras
071360,- Feijão-guando (ervilha-de-angola) (Cajanus cajan)
07136010,Para semeadura (sementeira)
07136090,Outros
071390,- Outros
07139010,Para semeadura (sementeira)
07139090,Outros
0714,"Raízes de mandioca, de araruta e de salepo, tupinambos,"
07141000,- Raízes de mandioca
07142000,- Batatas-doces
07143000,- Inhames (Dioscoreaspp.)
07144000,- Taros (inhames-brancos) (Colocasiaspp.)
07145000,- Mangaritos (Orelhas-de-elefante*) (Xanthosomaspp.)
07149000,- Outros
08,Fruta; cascas de citros (citrinos) e de melões.
0801,"Cocos, castanha-do-brasil (castanha-do-pará) e castanha"
