Código,Descrição
03032410,Bagre americano (Ictalurus punctatus)
03032490,Outros
03032500,"-- Carpas (Cyprinusspp., Carassiusspp., Ctenopharyngodo"
03032600,-- Enguias (Anguillaspp.)
03032900,-- Outros
03033,"- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossida"
03033100,-- Linguados-gigantes (Alabotes*) (Reinhardtius hippogl
03033200,-- Solha (Pleuronectes platessa)
03033300,-- Linguados (Soleaspp.)
03033400,-- Pregado (Psetta maxima)
03033900,-- Outros
03034,"- Atuns (do gêneroThunnus), bonito-listrado (gaiado*) ("
03034100,-- Albacora-branca (atum) (Thunnus alalunga)
03034200,-- Albacora-laje (atum) (Thunnus albacares)
03034300,-- Bonito-listrado (Gaiado*) (Katsuwonus pelamis)
03034400,-- Albacora-bandolim (atum) (Thunnus obesus)
03034500,"-- Atuns-azuis (atuns) (Thunnus thynnus, Thunnus orient"
03034600,-- Atum-azul do sul (atum) (Thunnus maccoyii)
03034900,-- Outros
03035,"- Arenques (Clupea harengus, Clupea pallasii), anchovas"
03035100,"-- Arenques (Clupea harengus, Clupea pallasii)"
03035300,"-- Sardinhas (Sardina pilchardus, Sardinopsspp., Sardin"
03035400,"-- Cavalinhas (Sardas e cavalas*) (Scomber scombrus, Sc"
03035500,-- Carapaus (Trachurusspp.)
03035600,-- Bijupirá (Cobia*) (Rachycentron canadum)
03035700,-- Espadarte (Xiphias gladius)
030359,-- Outros
03035910,"Espadins, marlins, veleiros (Istiophoridae)"
03035920,Anchoita (Engraulis anchoita)
03035990,Outros
03036,"- Peixes das famíliasBregmacerotidae,Euclichthyidae,Gad"
03036300,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-gr"
03036400,-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
03036500,-- Saithe (Escamudo*) (Pollachius virens)
03036600,"-- Merluzas (Pescadas*) e abróteas (Merlucciusspp.,Urop"
03036700,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra cha
03036800,"-- Verdinhos (Micromesistius poutassou, Micromesistius"
030369,-- Outros
03036910,Merluza rosada (Macruronus magellanicus)
03036990,Outros
03038,"- Outros peixes, exceto subprodutos comestíveis de peix"
030381,-- Cação e outros tubarões
0303811,Tubarão-azul (Prionace glauca)
03038111,Inteiro
03038112,"Eviscerado, sem cabeça e sem barbatanas"
03038113,"Em pedaços, com pele"
03038114,"Em pedaços, sem pele"
03038119,Outros
03038190,Outros
03038200,-- Raias (Rajidae)
030383,-- Merluza negra e merluza antártica (Marlongas*) (Diss
0303831,Merluza negra (Dissostichus eleginoides)
03038311,"Evisceradas, sem cabeça e sem cauda"
03038319,Outras
0303832,Merluza antártica (Dissostichus mawsoni)
03038321,"Evisceradas, sem cabeça e sem cauda"
03038329,Outras
03038400,-- Robalos (Dicentrarchusspp.)
030389,-- Outros
03038910,Corvina (Micropogonias furnieri)
03038920,Pescadas (Cynoscionspp.)
0303893,Pargo (Lutjanus purpureus) e peixe-sapo (Lophius gastro
03038932,Pargo (Lutjanus purpureus)
03038933,Peixe-sapo (Lophius gastrophysus)
0303894,"Cherne-poveiro (Polyprion americanus), garoupas (Acanth"
03038941,Cherne-poveiro (Polyprion americanus)
03038942,Garoupas (Acanthistiusspp.)
03038943,Tainhas (Mugilspp.)
03038944,"Esturjões (Acipenser baerii, Acipenser gueldenstaedtii,"
03038945,Peixes-rei (Atherinaspp.)
03038946,Nototenias (Patagonotothenspp.)
0303895,"Curimatãs (Prochilodusspp.), tilápias (Tilapiaspp., Sar"
03038951,Curimatãs (Prochilodusspp.)
03038952,"Tilápias (Tilapiaspp., Sarotherodonspp., Danakiliaspp.;"
03038953,Surubins (Pseudoplatystomaspp.)
03038954,Traíra (Hoplias malabaricus & H. cf. lacerdae)
03038955,Piaus (Leporinusspp.)
03038956,Pirarucu (Arapaima gigas)
0303896,"Piramutaba (Brachyplatystoma vaillantii), dourada (Brac"
03038961,Piramutaba (Brachyplatystoma vaillantii)
03038962,Dourada (Brachyplatystoma flavicans)
03038963,Pacu (Piaractus mesopotamicus)
03038964,Tambaqui (Colossoma macropomum)
03038965,Tambacu (híbrido de tambaqui e pacu)
03038990,Outros
03039,"- Fígados, ovas, gônadas masculinas, barbatanas, cabeça"
030391,"-- FÍGADOS, OVAS E GÔNADAS MASCULINAS"
03039110,OVAS DE TAINHAS (MUGILSPP.)
03039190,OUTROS
03039200,-- Barbatanas de tubarão
030399,-- Outros
03039910,Cabeças de Merluza negra (Dissostichus eleginoides)
03039920,Cabeças de Merluza antártica (Dissostichus mawsoni)
03039990,Outros
0304,Filés (filetes) de peixes e outra carne de peixes (mesm
03043,"- Filés (filetes) de tilápias (Oreochromisspp.), bagres"
03043100,-- Tilápias (Oreochromisspp.)
030432,"-- Bagres (Peixes-gato*) (Pangasiusspp., Silurusspp., C"
03043210,Bagre americano (Ictalurus punctatus)
03043290,Outros
03043300,-- Perca-do-nilo (Lates niloticus)
03043900,-- Outros
03044,"- Filés (filetes) de outros peixes, frescos ou refriger"
03044100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchu"
03044200,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhync"
03044300,"-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossid"
03044400,"-- Peixes das famíliasBregmacerotidae, Euclichthyidae,"
03044500,-- Espadarte (Xiphias gladius)
03044600,-- Merluza negra e merluza antártica (Marlongas*) (Diss
03044700,-- Cação e outros tubarões
03044800,-- Raias (Rajidae)
030449,-- Outros
03044910,Cherne-poveiro (Polyprion americanus)
03044920,Garoupas (Acanthistiusspp.)
03044990,Outros
03045,"- Outros, frescos ou refrigerados:"
03045100,"-- Tilápias (Oreochromisspp.), bagres (peixes-gato*) (P"
03045200,-- Salmonídeos
03045300,"-- Peixes das famíliasBregmacerotidae, Euclichthyidae,"
03045400,-- Espadarte (Xiphias gladius)
03045500,-- Merluza negra e merluza antártica (Marlongas*) (Diss
03045600,-- Cação e outros tubarões
03045700,-- Raias (Rajidae)
03045900,-- Outros
03046,"- Filés (filetes) de tilápias (Oreochromisspp.), bagres"
03046100,-- Tilápias (Oreochromisspp.)
030462,"-- Bagres (Peixes-gato*) (Pangasiusspp., Silurusspp., C"
03046210,Bagre americano (Ictalurus punctatus)
03046290,Outros
03046300,-- Perca-do-nilo (Lates niloticus)
03046900,-- Outros
03047,- Filés (filetes) de peixes das famíliasBregmacerotidae
03047100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-gr"
03047200,-- Hadoque (Arinca*) (Melanogrammus aeglefinus)
03047300,-- Saithe (Escamudo*) (Pollachius virens)
03047400,"-- Merluzas (Pescadas*) e abróteas (Merlucciusspp., Uro"
03047500,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra cha
03047900,-- Outros
03048,"- Filés (filetes) de outros peixes, congelados:"
03048100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchu"
03048200,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhync"
03048300,"-- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossid"
03048400,-- Espadarte (Xiphias gladius)
030485,-- Merluza negra e merluza antártica (Marlongas*) (Diss
03048510,Merluza negra (Dissostichus eleginoides)
03048520,Merluza antártica (Dissostichus mawsoni)
03048600,"-- Arenques (Clupea harengus, Clupea pallasii)"
03048700,"-- Atuns (do gêneroThunnus), bonito-listrado (gaiado*)"
030488,"-- Cação e outros tubarões, raias (Rajidae)"
03048810,Tubarão-azul (Prionace glauca)
03048890,Outros
030489,-- Outros
03048910,Pargo (Lutjanus purpureus)
03048920,Cherne-poveiro (Polyprion americanus)
03048930,Garoupas (Acanthistiusspp.)
03048990,Outros
03049,"- Outros, congelados:"
03049100,-- Espadarte (Xiphias gladius)
030492,-- Merluza negra e merluza antártica (Marlongas*) (Diss
0304921,Merluza negra (Dissostichus eleginoides)
03049211,Bochechas (cheeks)
03049212,Colares (collars)
03049219,Outros
0304922,Merluza antártica (Dissostichus mawsoni)
03049221,Bochechas (cheeks)
03049222,Colares (collars)
03049229,Outros
03049300,"-- Tilápias (Oreochromisspp.), bagres (peixes-gato*) (P"
03049400,-- Polaca-do-alasca (Escamudo-do-alasca*) (Theragra cha
03049500,"-- Peixes das famíliasBregmacerotidae, Euclichthyidae,"
03049600,-- Cação e outros tubarões
03049700,-- Raias (Rajidae)
03049900,-- Outros
0305,"Peixes secos, salgados ou em salmoura; peixes defumados"
03051020,OVAS DE TAINHAS (MUGILSPP.)
030520,"- FÍGADOS, OVAS E GÔNADAS.) MASCULINAS, DE PEIXES, SECO"
03052010,OVAS DE TAINHAS (MUGILSPP.)
03052090,OUTROS
03053,"- Filés (filetes) de peixes, secos, salgados ou em salm"
03053100,"-- Tilápias (Oreochromisspp.), bagres (peixes-gato*) (P"
030532,"-- Peixes das famíliasBregmacerotidae, Euclichthyidae,"
03053210,"Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groel"
03053220,Saithe (Pollachius virens)
03053230,Ling (Molva molva) e zarbo (Brosme brosme)
03053290,Outros
03053900,-- Outros
03054,"- Peixes defumados (fumados), mesmo em filés (filetes),"
03054100,"-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchu"
03054200,"-- Arenques (Clupea harengus, Clupea pallasii)"
03054300,"-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhync"
03054400,"-- Tilápias (Oreochromisspp.), bagres (peixes-gato*) (P"
030549,-- Outros
03054910,"Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-groel"
03054920,"Saithe (Pollachius virens), ling (Molva molva) e zarbo"
03054990,Outros
03055,"- Peixes secos, exceto subprodutos comestíveis de peixe"
03055100,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-gr"
03055200,"-- Tilápias (Oreochromisspp.), bagres (peixes-gato*) (P"
030553,"-- Peixes das famíliasBregmacerotidae,Euclichthyidae,Ga"
03055310,"Bacalhau polar (Boreogadus saida), saithe (Pollachius v"
03055390,Outros
03055400,"-- Arenques (Clupea harengus, Clupea pallasii), anchova"
03055900,-- Outros
03056,"- Peixes salgados, não secos nem defumados (fumados) e"
03056100,"-- Arenques (Clupea harengus, Clupea pallasii)"
03056200,"-- Bacalhau-do-atlântico (Gadus morhua), bacalhau-da-gr"
03056300,-- Anchovas (Biqueirões*) (Engraulisspp.)
03056400,"-- Tilápias (Oreochromisspp.), bagres (peixes-gato*) (P"
030569,-- Outros
03056910,"Saithe (Pollachius virens), ling (Molva molva) e zarbo"
03056990,Outros
03057,"- Barbatanas, cabeças, caudas, bexigas-natatórias e out"
03057100,-- Barbatanas de tubarão
03057200,"-- Cabeças, caudas e bexigas-natatórias, de peixes"
03057900,-- Outros
0306,"Crustáceos, mesmo com casca, vivos, frescos, refrigerad"
03061,- Congelados:
030611,"-- Lagostas (Palinurusspp., Panulirusspp., Jasusspp.)"
03061110,Inteiras
03061190,Outras
03061200,-- Lavagantes (Homarusspp.)
03061400,-- Caranguejos
03061500,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus)
030616,"-- Camarões de água fria (Pandalusspp., Crangon crangon"
03061610,Inteiros
03061690,Outros
030617,-- Outros camarões
03061710,Inteiros
03061790,Outros
030619,-- Outros
03061910,Krill (Euphausia superba)
03061990,Outros
03063,"- Vivos, frescos ou refrigerados:"
03063100,"-- Lagostas (Palinurusspp.,Panulirusspp.,Jasusspp.)"
03063200,-- Lavagantes (Homarusspp.)
03063300,-- Caranguejos
03063400,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus)
03063500,"-- Camarões de água fria (Pandalusspp.,Crangon crangon)"
03063600,-- Outros camarões
030639,-- Outros
03063910,Lagosta de água doce (Cherax quadricarinatus)
03063990,Outros
03069,- Outros:
03069100,"-- Lagostas (Palinurusspp.,Panulirusspp.,Jasusspp.)"
03069200,-- Lavagantes (Homarusspp.)
03069300,-- Caranguejos
03069400,-- Lagosta norueguesa (Lagostim*) (Nephrops norvegicus)
03069500,-- Camarões
030699,-- Outros
03069910,Lagosta de água doce (Cherax quadricarinatus)
03069990,Outros
0307,"Moluscos, mesmo com concha, vivos, frescos, refrigerado"
03071,- Ostras:
03071100,"-- Vivas, frescas ou refrigeradas"
03071200,-- Congeladas
03071900,-- Outras
03072,- Vieiras e outros moluscos da famíliaPectinidae:
03072100,"-- Vivos, frescos ou refrigerados"
03072200,-- Congelados
03072900,-- Outros
03073,"- Mexilhões (Mytilusspp.,Pernaspp.):"
03073100,"-- Vivos, frescos ou refrigerados"
03073200,-- Congelados
03073900,-- Outros
03074,- Sépias (Chocos*) (Chocos e chopos*); lulas (potas e l
03074200,"-- Vivas, frescas ou refrigeradas"
030743,-- Congeladas
03074310,Lulas
03074320,Sépias
03074900,-- Outras
03075,- Polvos (Octopusspp.):
03075100,"-- Vivos, frescos ou refrigerados"
03075200,-- Congelados
03075900,-- Outros
03076000,"- Caracóis, exceto os do mar"
03077,"- Amêijoas, berbigões e arcas (famíliasArcidae, Arctici"
03077100,"-- Vivos, frescos ou refrigerados"
03077200,-- Congelados
03077900,-- Outros
03078,- Abalones (Orelhas-do-mar*) (Haliotisspp.) e estrombos
03078100,"-- Abalones (Orelhas-do-mar*) (Haliotisspp.) vivos, fre"
03078200,"-- Estrombos (Strombusspp.) vivos, frescos ou refrigera"
03078300,-- Abalones (Orelhas-do-mar*) (Haliotisspp.) congelados
03078400,-- Estrombos (Strombusspp.) congelados
03078700,-- Outros abalones (orelhas-do-mar*) (Haliotisspp.)
03078800,-- Outros estrombos (Strombusspp.)
03079,- Outros:
03079100,"-- Vivos, frescos ou refrigerados"
03079200,-- Congelados
03079900,-- Outros
0308,"Invertebrados aquáticos, exceto crustáceos e moluscos,"
03081,"- Pepinos-do-mar (Stichopus japonicus, Holothuroidea):"
03081100,"-- Vivos, frescos ou refrigerados"
03081200,-- Congelados
03081900,-- Outros
03082,"- Ouriços-do-mar (Strongylocentrotusspp.,Paracentrotus"
03082100,"-- Vivos, frescos ou refrigerados"
03082200,-- Congelados
03082900,-- Outros
03083000,- Medusas (águas-vivas) (Rhopilemaspp.)
03089000,- Outros
0309,"Farinhas, pós epellets, de peixe, crustáceos, moluscos"
03091000,- De peixe
03099000,- Outros
